Description:
	CIE Illuminant FL3.4
	Adapted from the file CIE 15 Tables.xls found on the CDROM accompanying the CIE Colorimetry 3rd Edition Technical Report (CIE 15:2004)
	The technical report and the complete CDROM may be obtained from the CIE Central Bureau (Kegelgasse 27, A-1030 Vienna, www.cie.co.at)
	Table T.6. Relative spectral power distributions of illuminants representing typical fluorescent lamps, for wavelengths lambda = 380 nm to 780 nm at 5 nm intervals
	Table T.6.2. New set of fluorescent lamps.
End
Spectrum:
	380	3.46
	385	3.86
	390	4.41
	395	4.51
	400	4.86
	405	71.22
	410	8.72
	415	5.36
	420	5.61
	425	5.91
	430	6.42
	435	192.77
	440	7.77
	445	8.37
	450	9.22
	455	10.18
	460	11.18
	465	12.28
	470	13.38
	475	14.54
	480	15.74
	485	17.09
	490	19.6
	495	21.05
	500	23.96
	505	27.77
	510	32.68
	515	38.29
	520	43.76
	525	47.72
	530	50.27
	535	51.78
	540	52.68
	545	167.36
	550	55.29
	555	56.94
	560	59.3
	565	62.15
	570	65.26
	575	84.26
	580	89.22
	585	75.79
	590	79.19
	595	82.8
	600	85.76
	605	88.62
	610	91.12
	615	93.43
	620	96.89
	625	101.45
	630	103.65
	635	100.3
	640	97.89
	645	96.59
	650	106.21
	655	109.97
	660	117.49
	665	96.04
	670	80.15
	675	70.42
	680	65.01
	685	60.15
	690	56.04
	695	50.92
	700	46.26
	705	42.6
	710	38.85
	715	35.09
	720	31.73
	725	28.77
	730	25.76
	735	23.16
	740	21.3
	745	18.55
	750	17.74
	755	14.74
	760	12.93
	765	13.63
	770	10.43
	775	9.67
	780	8.07
End
